,SepalLength,SepalWidth,PetalLength,PetalWidth,Species
1,6.4,2.8,5.6,2.2,2
2,5,2.3,3.3,1,1
3,4.9,2.5,4.5,1.7,2
4,4.9,3.1,1.5,0.1,0
5,5.7,3.8,1.7,0.3,0
6,4.4,3.2,1.3,0.2,0
7,5.4,3.4,1.5,0.4,0
8,6.9,3.1,5.1,2.3,2
9,6.7,3.1,4.4,1.4,1
10,5.1,3.7,1.5,0.4,0
11,5.2,2.7,3.9,1.4,1
12,6.9,3.1,4.9,1.5,1
13,5.8,4,1.2,0.2,0
14,5.4,3.9,1.7,0.4,0
15,7.7,3.8,6.7,2.2,2
16,6.3,3.3,4.7,1.6,1
17,6.8,3.2,5.9,2.3,2
18,7.6,3,6.6,2.1,2
19,6.4,3.2,5.3,2.3,2
20,5.7,4.4,1.5,0.4,0
21,6.7,3.3,5.7,2.1,2
22,6.4,2.8,5.6,2.1,2
23,5.4,3.9,1.3,0.4,0
24,6.1,2.6,5.6,1.4,2
25,7.2,3,5.8,1.6,2
26,5.2,3.5,1.5,0.2,0
27,5.8,2.6,4,1.2,1
28,5.9,3,5.1,1.8,2
29,5.4,3,4.5,1.5,1
30,6.7,3,5,1.7,1
31,6.3,2.3,4.4,1.3,1
32,5.1,2.5,3,1.1,1
33,6.4,3.2,4.5,1.5,1
34,6.8,3,5.5,2.1,2
35,6.2,2.8,4.8,1.8,2
36,6.9,3.2,5.7,2.3,2
37,6.5,3.2,5.1,2,2
38,5.8,2.8,5.1,2.4,2
39,5.1,3.8,1.5,0.3,0
40,4.8,3,1.4,0.3,0
41,7.9,3.8,6.4,2,2
42,5.8,2.7,5.1,1.9,2
43,6.7,3,5.2,2.3,2
44,5.1,3.8,1.9,0.4,0
45,4.7,3.2,1.6,0.2,0
46,6,2.2,5,1.5,2
47,4.8,3.4,1.6,0.2,0
48,7.7,2.6,6.9,2.3,2
49,4.6,3.6,1,0.2,0
50,7.2,3.2,6,1.8,2
51,5,3.3,1.4,0.2,0
52,6.6,3,4.4,1.4,1
53,6.1,2.8,4,1.3,1
54,5,3.2,1.2,0.2,0
55,7,3.2,4.7,1.4,1
56,6,3,4.8,1.8,2
57,7.4,2.8,6.1,1.9,2
58,5.8,2.7,5.1,1.9,2
59,6.2,3.4,5.4,2.3,2
60,5,2,3.5,1,1
61,5.6,2.5,3.9,1.1,1
62,6.7,3.1,5.6,2.4,2
63,6.3,2.5,5,1.9,2
64,6.4,3.1,5.5,1.8,2
65,6.2,2.2,4.5,1.5,1
66,7.3,2.9,6.3,1.8,2
67,4.4,3,1.3,0.2,0
68,7.2,3.6,6.1,2.5,2
69,6.5,3,5.5,1.8,2
70,5,3.4,1.5,0.2,0
